feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
game_format,unspecified_game_format,primary_methodology,survey,634,8.8
audience,not_applicable,intended_outcome,learning_and_literacy,628,8.7
audience,students,evidence_type,empirical_study,607,8.4
intended_outcome,engagement_and_participation,peer_review,peer_reviewed,607,8.4
intended_outcome,engagement_and_participation,source_type,peer_reviewed_journal_article,607,8.4
coding_confidence,medium,intended_outcome,learning_and_literacy,603,8.4
audience,educators,intended_outcome,learning_and_literacy,599,8.3
game_format,unspecified_game_format,intended_outcome,engagement_and_participation,597,8.3
audience,not_applicable,library_context,academic_library,595,8.3
coding_confidence,medium,service_area,learning_and_literacy,595,8.3
library_context,academic_library,service_area,professional_capacity,584,8.1
audience,students,intended_outcome,learning_and_literacy,583,8.1
intended_outcome,not_applicable,library_context,academic_library,578,8.0
audience,educators,audience,students,572,7.9
coding_confidence,medium,intended_outcome,not_applicable,572,7.9
library_context,unspecified_library_context,service_area,learning_and_literacy,558,7.7
audience,students,coding_confidence,low,556,7.7
library_context,academic_library,service_area,learning_and_literacy,554,7.7
evidence_type,theoretical_or_conceptual,library_context,academic_library,538,7.5
audience,students,primary_methodology,unspecified,527,7.3
audience,students,library_context,academic_library,525,7.3
coding_confidence,medium,service_area,collections_and_access,522,7.2
evidence_type,theoretical_or_conceptual,service_area,learning_and_literacy,516,7.2
intended_outcome,learning_and_literacy,library_context,academic_library,496,6.9
coding_confidence,low,service_area,professional_capacity,496,6.9
library_context,academic_library,service_area,collections_and_access,496,6.9
audience,students,coding_confidence,medium,492,6.8
audience,educators,evidence_type,theoretical_or_conceptual,490,6.8
primary_methodology,unspecified,service_area,professional_capacity,475,6.6
evidence_type,empirical_study,service_area,professional_capacity,470,6.5
intended_outcome,discovery_and_advisory,source_type,peer_reviewed_journal_article,459,6.4
intended_outcome,discovery_and_advisory,peer_review,peer_reviewed,459,6.4
game_format,unspecified_game_format,intended_outcome,discovery_and_advisory,458,6.4
evidence_type,theoretical_or_conceptual,intended_outcome,learning_and_literacy,457,6.3
audience,not_applicable,service_area,learning_and_literacy,456,6.3
audience,not_applicable,intended_outcome,creativity_and_production,431,6.0
audience,educators,intended_outcome,not_applicable,425,5.9
intended_outcome,creativity_and_production,library_context,unspecified_library_context,414,5.7
peer_review,peer_reviewed,service_area,programming_and_facilitation,411,5.7
service_area,programming_and_facilitation,source_type,peer_reviewed_journal_article,411,5.7
coding_confidence,low,intended_outcome,creativity_and_production,410,5.7
game_format,unspecified_game_format,service_area,programming_and_facilitation,408,5.7
audience,educators,service_area,collections_and_access,408,5.7
primary_methodology,qualitative_study,source_type,peer_reviewed_journal_article,401,5.6
coding_confidence,medium,primary_methodology,qualitative_study,401,5.6
peer_review,peer_reviewed,primary_methodology,qualitative_study,401,5.6
evidence_type,empirical_study,primary_methodology,qualitative_study,401,5.6
game_format,unspecified_game_format,primary_methodology,qualitative_study,396,5.5
library_context,school_library,peer_review,peer_reviewed,395,5.5
library_context,school_library,source_type,peer_reviewed_journal_article,395,5.5
game_format,unspecified_game_format,library_context,school_library,394,5.5
coding_confidence,low,service_area,community_and_inclusion,375,5.2
intended_outcome,creativity_and_production,primary_methodology,unspecified,374,5.2
coding_confidence,medium,service_area,discovery_and_advisory,374,5.2
audience,educators,service_area,professional_capacity,374,5.2
audience,educators,library_context,unspecified_library_context,371,5.2
coding_confidence,medium,service_area,professional_capacity,366,5.1
audience,not_applicable,intended_outcome,institutional_capacity,363,5.0
coding_confidence,low,intended_outcome,institutional_capacity,363,5.0
evidence_type,empirical_study,intended_outcome,creativity_and_production,362,5.0
peer_review,peer_reviewed,service_area,creation_and_making,357,5.0
service_area,creation_and_making,source_type,peer_reviewed_journal_article,357,5.0
peer_review,peer_reviewed,service_area,outreach_and_partnerships,357,5.0
service_area,outreach_and_partnerships,source_type,peer_reviewed_journal_article,357,5.0
audience,not_applicable,service_area,community_and_inclusion,355,4.9
evidence_type,empirical_study,intended_outcome,engagement_and_participation,353,4.9
game_format,unspecified_game_format,service_area,outreach_and_partnerships,352,4.9
game_format,unspecified_game_format,service_area,creation_and_making,351,4.9
intended_outcome,belonging_and_community,source_type,peer_reviewed_journal_article,349,4.8
intended_outcome,belonging_and_community,peer_review,peer_reviewed,349,4.8
intended_outcome,not_applicable,service_area,professional_capacity,348,4.8
audience,not_applicable,service_area,professional_capacity,348,4.8
intended_outcome,equitable_access,peer_review,peer_reviewed,347,4.8
intended_outcome,equitable_access,source_type,peer_reviewed_journal_article,347,4.8
game_format,unspecified_game_format,intended_outcome,belonging_and_community,347,4.8
intended_outcome,institutional_capacity,primary_methodology,unspecified,347,4.8
coding_confidence,medium,intended_outcome,institutional_capacity,346,4.8
primary_methodology,unspecified,service_area,community_and_inclusion,345,4.8
game_format,unspecified_game_format,intended_outcome,equitable_access,345,4.8
evidence_type,empirical_study,service_area,community_and_inclusion,341,4.7
intended_outcome,institutional_capacity,library_context,unspecified_library_context,338,4.7
coding_confidence,low,intended_outcome,engagement_and_participation,337,4.7
intended_outcome,institutional_capacity,service_area,professional_capacity,336,4.7
library_context,academic_library,primary_methodology,survey,329,4.6
library_context,unspecified_library_context,service_area,community_and_inclusion,327,4.5
intended_outcome,learning_and_literacy,service_area,collections_and_access,325,4.5
evidence_type,empirical_study,intended_outcome,institutional_capacity,323,4.5
audience,not_applicable,intended_outcome,engagement_and_participation,319,4.4
intended_outcome,engagement_and_participation,library_context,unspecified_library_context,315,4.4
intended_outcome,engagement_and_participation,primary_methodology,unspecified,312,4.3
intended_outcome,equitable_access,service_area,collections_and_access,307,4.3
coding_confidence,medium,intended_outcome,creativity_and_production,303,4.2
coding_confidence,medium,service_area,community_and_inclusion,301,4.2
audience,students,library_context,unspecified_library_context,298,4.1
audience,educators,primary_methodology,survey,296,4.1
coding_confidence,low,intended_outcome,discovery_and_advisory,295,4.1
intended_outcome,institutional_capacity,service_area,learning_and_literacy,295,4.1
coding_confidence,medium,evidence_type,implementation_case,292,4.1
evidence_type,implementation_case,peer_review,peer_reviewed,292,4.1
evidence_type,implementation_case,source_type,peer_reviewed_journal_article,292,4.1
evidence_type,implementation_case,game_format,unspecified_game_format,291,4.0
library_context,school_library,service_area,learning_and_literacy,288,4.0
audience,students,evidence_type,theoretical_or_conceptual,286,4.0
service_area,collections_and_access,service_area,learning_and_literacy,286,4.0
intended_outcome,discovery_and_advisory,primary_methodology,unspecified,282,3.9
audience,not_applicable,intended_outcome,discovery_and_advisory,278,3.9
intended_outcome,institutional_capacity,library_context,academic_library,275,3.8
audience,educators,library_context,school_library,271,3.8
primary_methodology,case_or_design_study,source_type,peer_reviewed_journal_article,270,3.7
evidence_type,implementation_case,primary_methodology,case_or_design_study,270,3.7
peer_review,peer_reviewed,primary_methodology,case_or_design_study,270,3.7
coding_confidence,medium,primary_methodology,case_or_design_study,270,3.7
coding_confidence,medium,intended_outcome,engagement_and_participation,270,3.7
intended_outcome,institutional_capacity,intended_outcome,learning_and_literacy,269,3.7
game_format,unspecified_game_format,primary_methodology,case_or_design_study,269,3.7
intended_outcome,creativity_and_production,intended_outcome,learning_and_literacy,266,3.7
intended_outcome,creativity_and_production,service_area,creation_and_making,265,3.7
intended_outcome,discovery_and_advisory,library_context,unspecified_library_context,260,3.6
evidence_type,theoretical_or_conceptual,service_area,professional_capacity,258,3.6
intended_outcome,belonging_and_community,service_area,outreach_and_partnerships,257,3.6
evidence_type,instrument_or_framework_development,primary_methodology,unspecified,253,3.5
audience,educators,intended_outcome,institutional_capacity,253,3.5
evidence_type,instrument_or_framework_development,peer_review,peer_reviewed,253,3.5
evidence_type,instrument_or_framework_development,source_type,peer_reviewed_journal_article,253,3.5
coding_confidence,low,evidence_type,instrument_or_framework_development,253,3.5
